PassengerId,Pclass,Survived,rango_edad
1,3,0,Adulto_Joven
2,1,1,Adulto_Joven
3,3,1,Adulto_Joven
4,1,1,Adulto_Joven
5,3,0,Adulto_Joven
6,3,0,Adulto_Joven
7,1,0,Adulto
8,3,0,Infante
9,3,1,Adulto_Joven
10,2,1,Adolescente
11,3,1,Infante
12,1,1,Adulto
13,3,0,Adulto_Joven
14,3,0,Adulto_Joven
15,3,0,Adolescente
16,2,1,Adulto
17,3,0,Infante
18,2,1,Adulto_Joven
19,3,0,Adulto_Joven
20,3,1,Adulto_Joven
21,2,0,Adulto_Joven
22,2,1,Adulto_Joven
23,3,1,Adolescente
24,1,1,Adulto_Joven
25,3,0,Infante
26,3,1,Adulto_Joven
27,3,0,Adulto_Joven
28,1,0,Adolescente
29,3,1,Adulto_Joven
30,3,0,Adulto_Joven
31,1,0,Adulto
32,1,1,Adulto_Joven
33,3,1,Adulto_Joven
34,2,0,Senior
35,1,0,Adulto_Joven
36,1,0,Adulto
37,3,1,Adulto_Joven
38,3,0,Adulto_Joven
39,3,0,Adolescente
40,3,1,Adolescente
41,3,0,Adulto
42,2,0,Adulto_Joven
43,3,0,Adulto_Joven
44,2,1,Infante
45,3,1,Adolescente
46,3,0,Adulto_Joven
47,3,0,Adulto_Joven
48,3,1,Adulto_Joven
49,3,0,Adulto_Joven
50,3,0,Adolescente
51,3,0,Infante
52,3,0,Adulto_Joven
53,1,1,Adulto
54,2,1,Adulto_Joven
55,1,0,Senior
56,1,1,Adulto_Joven
57,2,1,Adulto_Joven
58,3,0,Adulto_Joven
59,2,1,Infante
60,3,0,Infante
61,3,0,Adulto_Joven
62,1,1,Adulto_Joven
63,1,0,Adulto
64,3,0,Infante
65,1,0,Adulto_Joven
66,3,1,Adulto_Joven
67,2,1,Adulto_Joven
68,3,0,Adolescente
69,3,1,Adolescente
70,3,0,Adulto_Joven
71,2,0,Adulto_Joven
72,3,0,Adolescente
73,2,0,Adulto_Joven
74,3,0,Adulto_Joven
75,3,1,Adulto_Joven
76,3,0,Adulto_Joven
77,3,0,Adulto_Joven
78,3,0,Adulto_Joven
79,2,1,Infante
80,3,1,Adulto_Joven
81,3,0,Adulto_Joven
82,3,1,Adulto_Joven
83,3,1,Adulto_Joven
84,1,0,Adulto_Joven
85,2,1,Adolescente
86,3,1,Adulto_Joven
87,3,0,Adolescente
88,3,0,Adulto_Joven
89,1,1,Adulto_Joven
90,3,0,Adulto_Joven
91,3,0,Adulto_Joven
92,3,0,Adulto_Joven
93,1,0,Adulto
94,3,0,Adulto_Joven
95,3,0,Adulto
96,3,0,Adulto_Joven
97,1,0,Senior
98,1,1,Adulto_Joven
99,2,1,Adulto_Joven
100,2,0,Adulto_Joven
101,3,0,Adulto_Joven
102,3,0,Adulto_Joven
103,1,0,Adulto_Joven
104,3,0,Adulto_Joven
105,3,0,Adulto_Joven
106,3,0,Adulto_Joven
107,3,1,Adulto_Joven
108,3,1,Adulto_Joven
109,3,0,Adulto_Joven
110,3,1,Adulto_Joven
111,1,0,Adulto
112,3,0,Adolescente
113,3,0,Adulto_Joven
114,3,0,Adulto_Joven
115,3,0,Adolescente
116,3,0,Adulto_Joven
117,3,0,Senior
118,2,0,Adulto_Joven
119,1,0,Adulto_Joven
120,3,0,Infante
121,2,0,Adulto_Joven
122,3,0,Adulto_Joven
123,2,0,Adulto_Joven
124,2,1,Adulto_Joven
125,1,0,Adulto
126,3,1,Infante
127,3,0,Adulto_Joven
128,3,1,Adulto_Joven
129,3,1,Adulto_Joven
130,3,0,Adulto
131,3,0,Adulto_Joven
132,3,0,Adulto_Joven
133,3,0,Adulto
134,2,1,Adulto_Joven
135,2,0,Adulto_Joven
136,2,0,Adulto_Joven
137,1,1,Adolescente
138,1,0,Adulto_Joven
139,3,0,Adolescente
140,1,0,Adulto_Joven
141,3,0,Adulto_Joven
142,3,1,Adulto_Joven
143,3,1,Adulto_Joven
144,3,0,Adolescente
145,2,0,Adolescente
146,2,0,Adolescente
147,3,1,Adulto_Joven
148,3,0,Infante
149,2,0,Adulto_Joven
150,2,0,Adulto
151,2,0,Adulto
152,1,1,Adulto_Joven
153,3,0,Adulto
154,3,0,Adulto
155,3,0,Adulto_Joven
156,1,0,Adulto
157,3,1,Adolescente
158,3,0,Adulto_Joven
159,3,0,Adulto_Joven
160,3,0,Adulto_Joven
161,3,0,Adulto
162,2,1,Adulto
163,3,0,Adulto_Joven
164,3,0,Adolescente
165,3,0,Infante
166,3,1,Infante
167,1,1,Adulto_Joven
168,3,0,Adulto
169,1,0,Adulto_Joven
170,3,0,Adulto_Joven
171,1,0,Senior
172,3,0,Infante
173,3,1,Infante
174,3,0,Adulto_Joven
175,1,0,Adulto
176,3,0,Adolescente
177,3,0,Adulto_Joven
178,1,0,Adulto
179,2,0,Adulto_Joven
180,3,0,Adulto_Joven
181,3,0,Adulto_Joven
182,2,0,Adulto_Joven
183,3,0,Infante
184,2,1,Infante
185,3,1,Infante
186,1,0,Adulto_Joven
187,3,1,Adulto_Joven
188,1,1,Adulto
189,3,0,Adulto
190,3,0,Adulto_Joven
191,2,1,Adulto_Joven
192,2,0,Adolescente
193,3,1,Adolescente
194,2,1,Infante
195,1,1,Adulto
196,1,1,Adulto
197,3,0,Adulto_Joven
198,3,0,Adulto
199,3,1,Adulto_Joven
200,2,0,Adulto_Joven
201,3,0,Adulto_Joven
202,3,0,Adulto_Joven
203,3,0,Adulto_Joven
204,3,0,Adulto
205,3,1,Adolescente
206,3,0,Infante
207,3,0,Adulto_Joven
208,3,1,Adulto_Joven
209,3,1,Adolescente
210,1,1,Adulto
211,3,0,Adulto_Joven
212,2,1,Adulto_Joven
213,3,0,Adulto_Joven
214,2,0,Adulto_Joven
215,3,0,Adulto_Joven
216,1,1,Adulto_Joven
217,3,1,Adulto_Joven
218,2,0,Adulto
219,1,1,Adulto_Joven
220,2,0,Adulto_Joven
221,3,1,Adolescente
222,2,0,Adulto_Joven
223,3,0,Adulto
224,3,0,Adulto_Joven
225,1,1,Adulto_Joven
226,3,0,Adulto_Joven
227,2,1,Adolescente
228,3,0,Adulto_Joven
229,2,0,Adolescente
230,3,0,Adulto_Joven
231,1,1,Adulto_Joven
232,3,0,Adulto_Joven
233,2,0,Adulto
234,3,1,Infante
235,2,0,Adulto_Joven
236,3,0,Adulto_Joven
237,2,0,Adulto
238,2,1,Infante
239,2,0,Adolescente
240,2,0,Adulto_Joven
241,3,0,Adulto_Joven
242,3,1,Adulto_Joven
243,2,0,Adulto_Joven
244,3,0,Adulto_Joven
245,3,0,Adulto_Joven
246,1,0,Adulto
247,3,0,Adulto_Joven
248,2,1,Adulto_Joven
249,1,1,Adulto_Joven
250,2,0,Adulto
251,3,0,Adulto_Joven
252,3,0,Adulto_Joven
253,1,0,Senior
254,3,0,Adulto_Joven
255,3,0,Adulto
256,3,1,Adulto_Joven
257,1,1,Adulto_Joven
258,1,1,Adulto_Joven
259,1,1,Adulto_Joven
260,2,1,Adulto
261,3,0,Adulto_Joven
262,3,1,Infante
263,1,0,Adulto
264,1,0,Adulto
265,3,0,Adulto_Joven
266,2,0,Adulto_Joven
267,3,0,Adolescente
268,3,1,Adulto_Joven
269,1,1,Adulto
270,1,1,Adulto_Joven
271,1,0,Adulto_Joven
272,3,1,Adulto_Joven
273,2,1,Adulto
274,1,0,Adulto_Joven
275,3,1,Adulto_Joven
276,1,1,Senior
277,3,0,Adulto
278,2,0,Adulto_Joven
279,3,0,Infante
280,3,1,Adulto_Joven
281,3,0,Senior
282,3,0,Adulto_Joven
283,3,0,Adolescente
284,3,1,Adolescente
285,1,0,Adulto_Joven
286,3,0,Adulto_Joven
287,3,1,Adulto_Joven
288,3,0,Adulto_Joven
289,2,1,Adulto
290,3,1,Adulto_Joven
291,1,1,Adulto_Joven
292,1,1,Adolescente
293,2,0,Adulto_Joven
294,3,0,Adulto_Joven
295,3,0,Adulto_Joven
296,1,0,Adulto_Joven
297,3,0,Adulto_Joven
298,1,0,Infante
299,1,1,Adulto_Joven
300,1,1,Adulto
301,3,1,Adulto_Joven
302,3,1,Adulto_Joven
303,3,0,Adolescente
304,2,1,Adulto_Joven
305,3,0,Adulto_Joven
306,1,1,Infante
307,1,1,Adulto_Joven
308,1,1,Adolescente
309,2,0,Adulto_Joven
310,1,1,Adulto_Joven
311,1,1,Adulto_Joven
312,1,1,Adolescente
313,2,0,Adulto_Joven
314,3,0,Adulto_Joven
315,2,0,Adulto
316,3,1,Adulto_Joven
317,2,1,Adulto_Joven
318,2,0,Adulto
319,1,1,Adulto_Joven
320,1,1,Adulto
321,3,0,Adulto_Joven
322,3,0,Adulto_Joven
323,2,1,Adulto_Joven
324,2,1,Adulto_Joven
325,3,0,Adulto_Joven
326,1,1,Adulto_Joven
327,3,0,Senior
328,2,1,Adulto_Joven
329,3,1,Adulto_Joven
330,1,1,Adolescente
331,3,1,Adulto_Joven
332,1,0,Adulto
333,1,0,Adulto_Joven
334,3,0,Adolescente
335,1,1,Adulto_Joven
336,3,0,Adulto_Joven
337,1,0,Adulto_Joven
338,1,1,Adulto
339,3,1,Adulto
340,1,0,Adulto
341,2,1,Infante
342,1,1,Adulto_Joven
343,2,0,Adulto_Joven
344,2,0,Adulto_Joven
345,2,0,Adulto_Joven
346,2,1,Adulto_Joven
347,2,1,Adulto
348,3,1,Adulto_Joven
349,3,1,Infante
350,3,0,Adulto
351,3,0,Adulto_Joven
352,1,0,Adulto_Joven
353,3,0,Adolescente
354,3,0,Adulto_Joven
355,3,0,Adulto_Joven
356,3,0,Adulto_Joven
357,1,1,Adulto_Joven
358,2,0,Adulto_Joven
359,3,1,Adulto_Joven
360,3,1,Adulto_Joven
361,3,0,Adulto
362,2,0,Adulto_Joven
363,3,0,Adulto
364,3,0,Adulto_Joven
365,3,0,Adulto_Joven
366,3,0,Adulto_Joven
367,1,1,Senior
368,3,1,Adulto_Joven
369,3,1,Adulto_Joven
370,1,1,Adulto_Joven
371,1,1,Adulto_Joven
372,3,0,Adolescente
373,3,0,Adolescente
374,1,0,Adulto_Joven
375,3,0,Infante
376,1,1,Adulto_Joven
377,3,1,Adulto_Joven
378,1,0,Adulto_Joven
379,3,0,Adulto_Joven
380,3,0,Adolescente
381,1,1,Adulto
382,3,1,Infante
383,3,0,Adulto_Joven
384,1,1,Adulto_Joven
385,3,0,Adulto_Joven
386,2,0,Adolescente
387,3,0,Infante
388,2,1,Adulto_Joven
389,3,0,Adulto_Joven
390,2,1,Adolescente
391,1,1,Adulto_Joven
392,3,1,Adulto_Joven
393,3,0,Adulto_Joven
394,1,1,Adulto_Joven
395,3,1,Adulto_Joven
396,3,0,Adulto_Joven
397,3,0,Adulto_Joven
398,2,0,Adulto
399,2,0,Adulto_Joven
400,2,1,Adulto_Joven
401,3,1,Adulto_Joven
402,3,0,Adulto_Joven
403,3,0,Adulto_Joven
404,3,0,Adulto_Joven
405,3,0,Adulto_Joven
406,2,0,Adulto_Joven
407,3,0,Adulto
408,2,1,Infante
409,3,0,Adulto_Joven
410,3,0,Adulto_Joven
411,3,0,Adulto_Joven
412,3,0,Adulto_Joven
413,1,1,Adulto_Joven
414,2,0,Adulto_Joven
415,3,1,Adulto
416,3,0,Adulto_Joven
417,2,1,Adulto_Joven
418,2,1,Adolescente
419,2,0,Adulto_Joven
420,3,0,Infante
421,3,0,Adulto_Joven
422,3,0,Adulto_Joven
423,3,0,Adulto_Joven
424,3,0,Adulto_Joven
425,3,0,Adolescente
426,3,0,Adulto_Joven
427,2,1,Adulto_Joven
428,2,1,Adolescente
429,3,0,Adulto_Joven
430,3,1,Adulto_Joven
431,1,1,Adulto_Joven
432,3,1,Adulto_Joven
433,2,1,Adulto
434,3,0,Adolescente
435,1,0,Adulto
436,1,1,Adolescente
437,3,0,Adulto_Joven
438,2,1,Adulto_Joven
439,1,0,Senior
440,2,0,Adulto_Joven
441,2,1,Adulto
442,3,0,Adulto_Joven
443,3,0,Adulto_Joven
444,2,1,Adulto_Joven
445,3,1,Adulto_Joven
446,1,1,Infante
447,2,1,Adolescente
448,1,1,Adulto_Joven
449,3,1,Infante
450,1,1,Adulto
451,2,0,Adulto_Joven
452,3,0,Adulto_Joven
453,1,0,Adulto_Joven
454,1,1,Adulto
455,3,0,Adulto_Joven
456,3,1,Adulto_Joven
457,1,0,Senior
458,1,1,Adulto_Joven
459,2,1,Adulto
460,3,0,Adulto_Joven
461,1,1,Adulto
462,3,0,Adulto_Joven
463,1,0,Adulto
464,2,0,Adulto
465,3,0,Adulto_Joven
466,3,0,Adulto_Joven
467,2,0,Adulto_Joven
468,1,0,Adulto
469,3,0,Adulto_Joven
470,3,1,Infante
471,3,0,Adulto_Joven
472,3,0,Adulto_Joven
473,2,1,Adulto_Joven
474,2,1,Adulto_Joven
475,3,0,Adulto_Joven
476,1,0,Adulto_Joven
477,2,0,Adulto_Joven
478,3,0,Adulto_Joven
479,3,0,Adulto_Joven
480,3,1,Infante
481,3,0,Infante
482,2,0,Adulto_Joven
483,3,0,Adulto
484,3,1,Senior
485,1,1,Adulto_Joven
486,3,0,Adulto_Joven
487,1,1,Adulto_Joven
488,1,0,Adulto
489,3,0,Adulto_Joven
490,3,1,Infante
491,3,0,Adulto_Joven
492,3,0,Adulto_Joven
493,1,0,Adulto
494,1,0,Senior
495,3,0,Adulto_Joven
496,3,0,Adulto_Joven
497,1,1,Adulto
498,3,0,Adulto_Joven
499,1,0,Adulto_Joven
500,3,0,Adulto_Joven
501,3,0,Adolescente
502,3,0,Adulto_Joven
503,3,0,Adulto_Joven
504,3,0,Adulto_Joven
505,1,1,Adolescente
506,1,0,Adolescente
507,2,1,Adulto_Joven
508,1,1,Adulto_Joven
509,3,0,Adulto_Joven
510,3,1,Adulto_Joven
511,3,1,Adulto_Joven
512,3,0,Adulto_Joven
513,1,1,Adulto_Joven
514,1,1,Adulto
515,3,0,Adulto_Joven
516,1,0,Adulto
517,2,1,Adulto_Joven
518,3,0,Adulto_Joven
519,2,1,Adulto_Joven
520,3,0,Adulto_Joven
521,1,1,Adulto_Joven
522,3,0,Adulto_Joven
523,3,0,Adulto_Joven
524,1,1,Adulto
525,3,0,Adulto_Joven
526,3,0,Adulto
527,2,1,Adulto
528,1,0,Adulto_Joven
529,3,0,Adulto_Joven
530,2,0,Adulto_Joven
531,2,1,Infante
532,3,0,Adulto_Joven
533,3,0,Adolescente
534,3,1,Adulto_Joven
535,3,0,Adulto_Joven
536,2,1,Infante
537,1,0,Adulto
538,1,1,Adulto_Joven
539,3,0,Adulto_Joven
540,1,1,Adulto_Joven
541,1,1,Adulto_Joven
542,3,0,Infante
543,3,0,Infante
544,2,1,Adulto_Joven
545,1,0,Adulto
546,1,0,Senior
547,2,1,Adolescente
548,2,1,Adulto_Joven
549,3,0,Adulto_Joven
550,2,1,Infante
551,1,1,Adolescente
552,2,0,Adulto_Joven
553,3,0,Adulto_Joven
554,3,1,Adulto_Joven
555,3,1,Adulto_Joven
556,1,0,Senior
557,1,1,Adulto
558,1,0,Adulto_Joven
559,1,1,Adulto_Joven
560,3,1,Adulto_Joven
561,3,0,Adulto_Joven
562,3,0,Adulto
563,2,0,Adulto_Joven
564,3,0,Adulto_Joven
565,3,0,Adulto_Joven
566,3,0,Adulto_Joven
567,3,0,Adolescente
568,3,0,Adulto_Joven
569,3,0,Adulto_Joven
570,3,1,Adulto_Joven
571,2,1,Senior
572,1,1,Adulto
573,1,1,Adulto_Joven
574,3,1,Adulto_Joven
575,3,0,Adolescente
576,3,0,Adolescente
577,2,1,Adulto_Joven
578,1,1,Adulto_Joven
579,3,0,Adulto_Joven
580,3,1,Adulto_Joven
581,2,1,Adulto_Joven
582,1,1,Adulto_Joven
583,2,0,Adulto
584,1,0,Adulto_Joven
585,3,0,Adulto_Joven
586,1,1,Adolescente
587,2,0,Adulto
588,1,1,Senior
589,3,0,Adulto_Joven
590,3,0,Adulto_Joven
591,3,0,Adulto_Joven
592,1,1,Adulto
593,3,0,Adulto
594,3,0,Adulto_Joven
595,2,0,Adulto_Joven
596,3,0,Adulto_Joven
597,2,1,Adulto_Joven
598,3,0,Adulto
599,3,0,Adulto_Joven
600,1,1,Adulto
601,2,1,Adulto_Joven
